perguntas,verdades
Quantas vagas o Vestibular Unicamp 2025 oferece no total?,São 3.340 vagas regulares distribuídas em cinco modalidades de ingresso.
Quantas vagas são reservadas para o Vestibular Indígena em 2025?,"49 vagas regulares, com 81 adicionais dependendo do edital específico."
Quantas vagas o Edital ENEM-Unicamp 2025 oferece?,São reservadas 314 vagas.
O que o Vestibular Unicamp avalia nos candidatos?,"Avalia clareza na expressão, organização de ideias, interpretação e domínio interdisciplinar do conteúdo do ensino médio."
Qual é o principal objetivo do Programa PAAIS?,Oferecer bonificações para candidatos que cursaram o ensino público brasileiro integralmente.
Candidatos autodeclarados pretos e pardos têm quais condições no Vestibular Unicamp?,"Concorrência com reserva de 15% a 27,2% das vagas em cada curso e verificação fenotípica."
Quais cursos possuem provas de habilidades específicas no Vestibular 2025?,"Arquitetura e Urbanismo, Artes Cênicas, Artes Visuais, Dança e Música."
Quantas vagas adicionais o Edital de Olimpíadas Científicas disponibiliza?,"São 115 vagas regulares, com 16 adicionais dependendo do edital."
Quais disciplinas compõem a 2ª fase do Vestibular Unicamp?,"Redação, Língua Portuguesa, Matemática, questões interdisciplinares e provas específicas de área."
Como será a comprovação de vínculo com escolas públicas para o PAAIS?,Históricos escolares completos emitidos por instituições públicas brasileiras.
Quais modalidades de ensino médio permitem participação no PAAIS?,"Ensino Médio regular, EJA ou ENEM/ENCCEJA integralmente em rede pública brasileira."
Qual é o peso das provas específicas no cálculo da nota final?,"Os pesos variam conforme o curso, detalhados no Anexo III da resolução."
Como as vagas não preenchidas são redistribuídas?,"São transferidas entre as modalidades de ingresso, priorizando o Vestibular Unicamp."
Candidatos isentos da taxa de inscrição estão automaticamente inscritos?,"Não, precisam realizar a inscrição separadamente."
Quais critérios são usados no desempate entre candidatos?,Notas padronizadas das disciplinas prioritárias do curso escolhido.
Qual a data limite para pagamento da taxa de inscrição no Vestibular 2025?,Até 10 de setembro de 2024.
Quantas chamadas são realizadas para matrículas no Vestibular Unicamp?,"O número de chamadas depende das vagas disponíveis, divulgado pela Comvest."
Quais grupos de cursos são considerados opções associadas?,"Engenharia Elétrica (Integral e Noturno), Engenharia Química e outros listados no Anexo III."
Quais requisitos são obrigatórios para inscrição no Vestibular Unicamp?,"CPF próprio, documento oficial com foto e conclusão ou previsão de conclusão do Ensino Médio."
Como candidatos com deficiência podem solicitar atendimento especial?,Devem informar no formulário de inscrição e enviar documentação conforme o Anexo VI.
Quantas vagas são oferecidas para o curso de Direito no Vestibular Unicamp 2025?,O curso de Direito oferece 120 vagas no total.
Quais obras literárias de prosa serão abordadas no Vestibular Unicamp 2025?,"As obras incluem 'A Hora da Estrela', de Clarice Lispector, e 'O Marinheiro', de Fernando Pessoa."
Quantas vagas são disponibilizadas para o curso de Ciências Econômicas?,O curso de Ciências Econômicas possui 90 vagas disponíveis.
