perguntas,verdades
Quantas vagas o Vestibular Unicamp 2025 oferece no total?,São 3.340 vagas regulares distribuídas em cinco modalidades de ingresso.
Quantas vagas são reservadas para o Vestibular Indígena em 2025?,"49 vagas regulares, com 81 adicionais dependendo do edital específico."
Candidatos autodeclarados pretos e pardos têm quais condições no Vestibular Unicamp?,"Concorrência com reserva de 15% a 27,2% das vagas em cada curso e verificação fenotípica."
Quais cursos possuem provas de habilidades específicas no Vestibular 2025?,"Arquitetura e Urbanismo, Artes Cênicas, Artes Visuais, Dança e Música."
Quantas vagas adicionais o Edital de Olimpíadas Científicas disponibiliza?,"São 115 vagas regulares, com 16 adicionais dependendo do edital."
Quais disciplinas compõem a 2ª fase do Vestibular Unicamp?,"Redação, Língua Portuguesa, Matemática, questões interdisciplinares e provas específicas de área."
Como será a comprovação de vínculo com escolas públicas para o PAAIS?,Históricos escolares completos emitidos por instituições públicas brasileiras.
Quais modalidades de ensino médio permitem participação no PAAIS?,"Ensino Médio regular, EJA ou ENEM/ENCCEJA integralmente em rede pública brasileira."
Candidatos isentos da taxa de inscrição estão automaticamente inscritos?,"Não, precisam realizar a inscrição separadamente."
Qual a data limite para pagamento da taxa de inscrição no Vestibular 2025?,Até 10 de setembro de 2024.
Quais grupos de cursos são considerados opções associadas?,"Engenharia Elétrica (Integral e Noturno), Engenharia Química e outros listados no Anexo III."
Quais requisitos são obrigatórios para inscrição no Vestibular Unicamp?,"CPF próprio, documento oficial com foto e conclusão ou previsão de conclusão do Ensino Médio."
Como candidatos com deficiência podem solicitar atendimento especial?,Devem informar no formulário de inscrição e enviar documentação conforme o Anexo VI.
Qual é a NMO para o curso de Medicina?,A NMO para o curso de Medicina é de 550.
Quais obras literárias de prosa serão abordadas no Vestibular Unicamp 2025?,"As obras incluem 'A Hora da Estrela', de Clarice Lispector, e 'O Marinheiro', de Fernando Pessoa."
Quantas vagas são disponibilizadas para o curso de Ciências Econômicas?,O curso de Ciências Econômicas possui 105 vagas disponíveis.
